分類,コース名,講師,バッジ,評価,レビュー数,受講生数,最終更新,言語,要約,URL,ターゲット(推定),商品コンセプト(推定)
Claude Code,Claude Code ハンズオン入門,神草 経知,Highest Rated,4.3,57,744,2025-09,Japanese,最先端AIエージェントをブラウザから操る！,https://www.udemy.com/course/claude-code/,Claude Codeを初めて触る開発者/学習者,短時間で基本操作をハンズオンで体験し、AIエージェント活用の入口を作る入門コース
Claude Code,〖バイブコーディング〗ゲーム~フルスタックWebサービスまで！4つのサービスを作って学ぶ、実践Claude Code入門,くるしば （アウトプットプログラミング学習）,Bestseller,4.6,9,176,2025-09,Japanese,日本語指示でゲーム/ポートフォリオ/ホワイトボード/TODOを作りながら学ぶ,https://www.udemy.com/course/claude-code-vive-coding/,初心者〜初級の学習者（成果物を作りながら学びたい）,日本語指示で4つのミニプロダクトを作り、Vibe Codingの開発フローを体得する実践入門
Claude Code,Everything Claude Codeハンズオン,神草 経知,"Hot & New, New",4.0,9,123,2026-02,Japanese,Anthropicハッカソン優勝者に学ぶEverything Claude Code活用術,https://www.udemy.com/course/everything-claude-code/,Claude Codeを実務で使いたい開発者（入門後〜中級）,ハッカソン実践のノウハウをベースに、Claude Codeの活用パターンを広く学ぶ
Claude Code,〖Claude Code入門〗実用的なWebアプリケーション開発を通して学ぶClaude Code入門徹底講座,Shin Code,"Bestseller, Highest Rated",4.4,158,"1,905",2025-09,Japanese,動画講座プラットフォームを作りながらClaude Code入門,https://www.udemy.com/course/claude-code-vibe-coding-tutorial/,Webアプリ開発経験者（プロジェクトでClaude Codeを使いたい）,実用Webアプリ（動画講座プラットフォーム）を作りながら、Claude Codeの使い方を一通り学ぶ
Claude Code,〖Claude Codeでバイブコーディング〗プログラミング未経験OK！はじめての AI 駆動開発でWebアプリを開発,とまだ Tomada,Bestseller,4.4,51,701,2026-01,Japanese,React/Next.jsで5つのWebアプリを作りながら学ぶ（デプロイまで）,https://www.udemy.com/course/claude-code-vibe-coding/,プログラミング未経験〜初学者,React/Next.jsで5つのWebアプリを作り、AI駆動開発からデプロイまで一気通貫で体験
Claude Code,〖Claude Code〗プログラミング未経験OK！Stripe サブスク型家計簿アプリで学ぶAI駆動開発マスター講座,とまだ Tomada,,4.6,13,229,2026-01,Japanese,Stripe決済・Clerk認証・Supabase統合で収益化可能なSaaS家計簿を作る,https://www.udemy.com/course/claude-code-expenses-app/,未経験〜初級の個人開発者（収益化SaaSに興味がある）,Stripe決済などの実装を含むサブスク家計簿SaaSを作り、AI駆動開発を実践で習得
Claude Code,〖Claude Code〗Next.js で作るサブスク型・作業時間管理アプリで学ぶ AI 駆動開発〖完全版〗,とまだ Tomada,,4.6,5,154,2026-01,Japanese,Clerk Billing/Stripe連携の時間管理SaaS（分析・PDF出力まで）を実装,https://www.udemy.com/course/claude-code-project-tracker/,Webアプリを作り込んだ実装を学びたい人（初級後〜中級）,課金・分析・PDF出力まで備えた時間管理SaaSを実装し、実務寄りのAI駆動開発を学ぶ
Claude Code,〖Claude Code カスタマイズ完全ガイド〗6つの拡張機能を使いこなして開発効率アップ！一歩先のAI駆動開発へ,とまだ Tomada,"Bestseller, Highest Rated",4.8,18,198,2026-01,Japanese,CLAUDE.md/rules/カスタムコマンド/サブエージェント/Skills/Hooksを使い分け,https://www.udemy.com/course/claude-code-perfect-guide/,Claude Code利用者（設定/拡張で生産性を上げたい）,CLAUDE.md等の設定やサブエージェント等の拡張を整理し、チーム/個人で再現性ある運用へ
Claude Code,〖Claude Code × MCP完全攻略〗Next.jsアプリ開発を劇的に効率化する5つの最新MCPツール実践ガイド,とまだ Tomada,"Bestseller, Highest Rated",4.5,11,241,2026-01,Japanese,Serena/Context7/Playwright/Sequential Thinking/SupabaseでMCPを実践,https://www.udemy.com/course/claude-code-mcp-nextjs/,MCPで開発を加速したいNext.js開発者（中級〜）,複数のMCPツールを組み合わせ、Next.js開発の調査・実装・テストを効率化する実践ガイド
Claude Code,〖Claude Code〗FlaskとGeminiで作る Python AI アプリ！実践レベルのAI駆動開発を学ぼう,とまだ Tomada,,4.4,5,64,2026-01,Japanese,Flask×Gemini×TDDで自動レビュー＆バグ診断ツールを開発,https://www.udemy.com/course/claude-code-flask/,Python/FlaskでAIアプリを作りたい開発者,Flask×Gemini×TDDでツール開発を行い、PythonでのAI駆動開発プロセスを体得
Claude Code,〖初心者OK〗Claude CodeとPythonで学ぶAI駆動開発！アプリ・スクレイピング・ゲーム作成で学ぶ完全ガイド,とまだ Tomada,,4.6,4,64,2026-01,Japanese,スクレイピング/GUI/2DゲームをAI駆動で作りながら学ぶ,https://www.udemy.com/course/claude-code-python/,Python初心者〜初級（題材を変えながら練習したい）,アプリ/スクレイピング/ゲームを題材に、Claude CodeでのAI駆動開発を幅広く学ぶ総合入門
Claude Code,Claude Codeでスマホアプリ開発！React Native（Expo）爆速バイブコーディングテンプレートを作ろう,とまだ Tomada,,4.3,6,178,2026-01,Japanese,再利用テンプレ×Jest/Maestro自動テスト付きでExpo開発を量産,https://www.udemy.com/course/claude-code-expo-template/,React Native/Expoで開発したい学習者・開発者,再利用できるテンプレ＋自動テストの土台を作り、AI支援でモバイル開発を量産しやすくする
Claude Code,Claude Codeで始める VibeCodingスタートガイド｜インストールからWebページ作成・アプリ開発体験まで,ハチコ hachico,,4.3,21,360,2025-11,Japanese,環境構築からWebサイト/ToDo/Chrome拡張まで体験,https://www.udemy.com/course/claude-code-for-beginners/,Claude Codeをまず試したい初心者,インストールから小さな成果物（Web/ToDo/拡張）作成まで、最短で体験して全体像を掴む
Claude Code,Claude Codeで始めるAIプログラミング入門：HTMLやPythonアプリをVibe Codingで自動生成,"けいすけ おおの, フリーランスの学校 （代表：村上周平）",,4.1,581,"6,715",2025-09,Japanese,コード生成/修正/デプロイ自動化を体験するVibe Coding入門,https://www.udemy.com/course/claude-code-vibe-cording/,非エンジニア〜初学者（AIで開発を体験したい）,自然言語でコード生成→修正→公開までを体験し、AI支援開発の基本操作を学ぶ
Claude Code,Claude CodeによるAI駆動開発入門,Tetsuya T,"Bestseller, Highest Rated",4.2,90,"1,155",2025-12,Japanese,プロンプトから機械学習パイプライン改善までハンズオンで学ぶ,https://www.udemy.com/course/claude-code-ai/,データサイエンス/ML周辺の開発者,プロンプト活用から機械学習パイプライン改善まで、AI駆動開発の考え方と実践を学ぶ
Claude Code,〖初心者向け〗Claude CodeでAIエージェントを用いたデータ加工集計分析とダッシュボード開発を体験！,"ウマたん （上野佑馬）, ともつぐ はまだ","Bestseller, Highest Rated",4.3,37,637,2026-01,Japanese,CSV/Excel加工〜PDFレポート〜Streamlitダッシュボード構築を体験,https://www.udemy.com/course/claude-code-analysis/,業務でデータ加工・集計・可視化を行う人（初心者）,CSV/Excel加工〜レポート作成〜ダッシュボード構築を、AIエージェントで一連の流れとして体験
Claude Code,〖バイブコーディング〗5つのアプリを作って学ぶClaudeCode完全入門講座,サトウ タクミ,,4.4,7,111,2025-08,Japanese,TODO/ポモドーロ/日記/請求書/英語学習アプリなど5つを作る,https://www.udemy.com/course/5claudecode/,初学者〜初級（反復で身につけたい）,5つのミニアプリ開発を通じて、ClaudeCodeの基本機能と指示のコツを反復学習
Claude Code,ブラウザテスト工程自動化ハンズオン完全ガイド,神草 経知,Highest Rated,4.3,14,200,2025-10,Japanese,Claude Code × Chrome DevTools MCPでブラウザ自動テストを実装,https://www.udemy.com/course/chrome-devtools-mcp/,QA/テスト自動化担当・フロントエンド開発者,Claude CodeとChrome DevTools MCPで、ブラウザテストの自動化を実装するハンズオン
Claude Code,AIエージェント開発革命：Claude CodeとMCPで実現する「手戻りゼロ」の実務フローをWindowsで解説,打田裕馬 （うちだゆうま）,New,5.0,1,34,2026-01,Japanese,MCP規格でデザインと実装を直結し、実務フローを短縮,https://www.udemy.com/course/mcp-design-to-code/,実務の開発プロセスを改善したいチーム/個人（PM/デザイナー/開発者）,MCPでデザインと実装をつなぎ、手戻りを減らす業務フローをWindows前提で解説
Claude Code,MCPでAIと世界をつなごう！〖Claude Desktop/Claude Code〗,我妻 幸長 Yukinaga Azuma,Highest Rated,4.1,159,"1,118",2025-09,Japanese,MCPでClaude Desktop/Claude Codeを外部リソースに接続する方法,https://www.udemy.com/course/mcp-claude/,MCPで外部連携を増やしたいClaudeユーザー,MCPを使ってClaude Desktop/Claude Codeを外部リソースに接続する基礎を学ぶ
Claude Code,〖ClaudeCode〗コード無しでアプリ開発：AI×自動化で実現する次世代プログラミング・バイブコーディング入門講座,綿引 真知子,,4.2,7,113,2026-01,Japanese,非エンジニア向けにClaudeCode/バイブコーディングの仕組みと実践を短時間で学ぶ,https://www.udemy.com/course/programming-ai/,非エンジニア/ノーコード志向のビジネス職・学習者,コードを書かずにアプリ開発を成立させる考え方と、AI×自動化の実践を短時間で学ぶ