リアルタイムKPI追跡ダッシュボード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,修正目標値,達成率,ステータス,備考,,,,,,,,,,,,,,,,,,,,,,,
オプチャリストイン数,,2000,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
セミナー予約数,,600,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
セミナー着席数,,500,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
CVR（転換率）,,14%,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
セミナー売り購入者数,,25,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
┗売上,,7500000,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
個別相談購入者数,,45,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
┗売上,,13500000,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
売上合計,,21000000,0.0%,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オプチャ日次推移追跡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
オプチャリストイン数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付,現在地,目標値,達成率,前日比,デイリー,予測値,施策,,,,,,,,,,,,,,,,,,,,,,,
3/8,1030,1067,96.6%,0,0.0,1030,,,,,,,,,,,,,,,,,,,,,,,,
3/9,1050,1133,92.6%,20,10.0,1190,,,,,,,,,,,,,,,,,,,,,,,,
3/10,1062,1200,88.5%,12,10.7,1201,,,,,,,,,,,,,,,,,,,,,,,,
3/11,1085,1267,85.7%,23,13.8,1250,,,,,,,,,,,,,,,,,,,,,,,,
3/12,1132,1333,84.9%,47,20.4,1356,,,,,,,,,,,,,,,,,,,,,,,,
3/13,,1400,0.0%,-1132,-171.7,-1717,,,,,,,,,,,,,,,,,,,,,,,,
3/14,,1467,0.0%,0,-147.1,-1324,,,,,,,,,,,,,,,,,,,,,,,,
3/15,,1533,0.0%,0,-128.8,-1030,,,,,,,,,,,,,,,,,,,,,,,,
3/16,,1600,0.0%,0,-114.4,-801,,,,,,,,,,,,,,,,,,,,,,,,
3/17,,1667,0.0%,0,-103.0,-618,,,,,,,,,,,,,,,,,,,,,,,,
3/18,,1733,0.0%,0,-93.6,-468,,,,,,,,,,,,,,,,,,,,,,,,
3/19,,1800,0.0%,0,-85.8,-343,,,,,,,,,,,,,,,,,,,,,,,,
3/20,,1867,0.0%,0,-79.2,-238,,,,,,,,,,,,,,,,,,,,,,,,
3/21,,1933,0.0%,0,-73.6,-147,,,,,,,,,,,,,,,,,,,,,,,,
3/22,,2000,0.0%,0,-68.7,-69,67,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数日次推移追跡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付,24日予約数,目標値,達成率,前日比,デイリー,予測値,備考,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.0%,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,50,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,75,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,100,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,125,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,150,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,200,0.0%,0,0.0,,,25,,,,,,,,,,,,,,,,,,,,,,
日付,25日予約数,目標値,達成率,前日比,デイリー,予測値,備考,,,,,,,,,,,,,,,,,,,,,,,
,,22,0.0%,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,67,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,133,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,156,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,178,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,200,0.0%,0,0.0,,,22,,,,,,,,,,,,,,,,,,,,,,
日付,26日予約数,目標値,達成率,前日比,デイリー,予測値,備考,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.0%,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,40,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,60,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,80,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,100,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,140,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,160,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,180,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,200,0.0%,0,0.0,,,20,,,,,,,,,,,,,,,,,,,,,,
日付,合計値,目標値,達成率,前日比,デイリー,予測値,備考,,,,,,,,,,,,,,,,,,,,,,,
,,60,0.0%,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,180,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,240,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,300,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,360,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,420,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,480,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,540,0.0%,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,600,0.0%,0,0.0,,,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セミナー実績値,,,,,,目標値20%,,,参加人数,,,,,,,,,,,,,,,,,,,,,
日付,予約数,着席数,着席率,購入数,売上,CVR,備考,,時間,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00
,,,#DIV/0!,0,0,0.00%,セミナー1日目,,12/14,250,394,419,432,438,426,390,224,193,159,145,,,,,,,,,,
,,,#DIV/0!,0,0,0.00%,セミナー2日目,,備考,,,,,,,,,,,,,,,,,,,,,
,,,#DIV/0!,0,0,0.00%,セミナー3日目,,12/16,340,424,450,461,470,474,467,449,271,255,227,203,183,167,157,,,,,,
,,,#DIV/0!,0,0,0.00%,セミナー4日目,,備考,,,,,,,,,22:52休憩392人,,,,,,,,,,,,
,,,#DIV/0!,0,0,0.00%,セミナー5日目,,12/18,250,447,468,476,483,487,461,355,340,323,280,262,256,233,205,186,168,,,,
,,,#DIV/0!,0,0,0.00%,,,備考,,,,,,MAX491,,,,,,,,,,,,,,,
,,,#DIV/0!,,0,0.00%,,,12/20,342,403,432,454,461,464,431,401,397,378,,,226,176,151,,,,,,
,,,#DIV/0!,,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,#DIV/0!,,0,0.00%,,,12/22,,,,,,,,,,,,,,,,,,,,,
合計,0,0,#DIV/0!,0,0,0.00%,"328,900",,,,,,,,,,,,,,,,,,,,,,,
,セミナー被り,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談実績値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,ステータス,,,備考,,,,,,,,,,,,,,,,,,,,,,,
わどチーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
クニトミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談実績値 追加セミナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,ステータス,,,備考,,,,,,,,,,,,,,,,,,,,,,,
わどチーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
クニトミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談実績値 合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI項目,現在値,目標値,達成率,ステータス,,,備考,,,,,,,,,,,,,,,,,,,,,,,
わどチーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
ユニコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
予約数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
実施数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
キャンセル数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
入会件数,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
個別相談成約率,#DIV/0!,80%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
売上,0,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,